CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       0.25       0.25       0.00
depend-int             0.05       0.00       0.00       0.00
depend-branch          0.05       0.00       0.00       0.00
issue-port2            0.02       0.00       0.00       0.00
branch                 0.49       0.00       0.00       0.00
mem-l1d                0.06       0.00       0.00       0.00
mem-l3                 0.22       0.77       0.77       0.00
mem-dram               0.44       0.54       0.54       0.00
sync-futex             0.20       0.00       0.00       0.00
imbalance-start        0.00      12.43      12.43       0.00
imbalance-end          0.00       2.91       2.91   2412170178.00
other                  0.04       0.37       0.37       0.00

total                  1.82      17.26      17.26   2412170178.00
